money_made_inv,loan_amnt,out_prncp_inv,term,int_rate
3.387679909210732,16000,0.0,36,9.75
10.449444112572603,7000,0.0,36,13.33
-2.103401482065319,25200,0.0,60,20.99
2.4860164261438484,1000,0.0,36,10.91
-1.817183819754689,24000,0.0,60,15.31
2.3046944026871854,12000,0.0,36,5.32
-3068.6,5000,3495.07,36,9.93
3.755272394779114,6500,0.0,36,12.99
3.041420433710746,18000,0.0,60,16.02
-16966.38,20000,17435.99,36,6.11
-24795.25,35000,27242.32,36,10.41
-7578.09,34825,10236.15,36,5.32
2.8467801225719014,14000,0.0,36,5.32
1043.4500000000007,12000,370.34,36,7.39
6021.190000000002,29475,4253.29,36,20.99
-6284.580000000002,25000,10762.11,60,7.91
-2.0708218950969,25000,0.0,36,20.75
-5.638794154426988,17000,0.0,36,7.21
-2.580504191961323,7800,0.0,36,7.89
-2260.73,10800,4018.58,36,11.49
-0.6397540817444787,28000,0.0,36,8.18
-3402.52,5000,3749.22,36,9.43
-2.8049810527386128,15600,0.0,60,11.53
-0.5002323850542745,30000,0.0,36,13.58
0.0242973655490414,10000,0.0,36,11.47
1.1319042196236972,25000,0.0,36,6.03
-3365.7000000000007,35000,11337.55,36,14.99
-2987.57,12000,5268.61,36,13.99
-2.5789257741424025,17500,0.0,36,6.24
-0.6992945023950726,11200,0.0,60,19.99
-4.394688987509952,4000,0.0,36,12.69
5687.370000000003,35000,5178.7,36,18.25
0.7282054454493974,35000,0.0,60,12.29
1.5268894428090438,11000,0.0,36,7.49
-5172.58,8000,5801.87,36,9.92
-7262.79,10000,7670.79,36,6.19
-6467.259999999998,30000,12300.13,36,13.99
-7097.56,15000,8326.16,36,7.35
5.460297435578225,21000,0.0,60,15.31
2.041832146993074,3500,0.0,36,22.9
1.6097653300666483,25000,0.0,36,16.99
4.140628581651255,11200,0.0,36,8.18
-220.2099999999992,23500,7172.21,36,18.99
-4423.83,8000,5153.82,36,9.44
-63.81999999999971,29500,7690.33,60,9.99
-5078.419999999998,40000,8284.31,36,5.32
-1.372984509570353,25000,0.0,60,17.57
3047.91,20000,652.78,36,11.47
-5.492132897576237,10075,0.0,36,10.75
-0.4914376432707369,24000,0.0,60,20.75
-6.4713815203088565,7500,0.0,36,7.99
